epsilon,run,private_count,private_mean,error_count,error_mean
0.5,11,165.3253,26.7897,5.325314254519924,2.7703479759966356
0.5,12,164.679,29.7556,4.678987236237731,0.19563745980513403
0.5,13,162.6624,29.5031,2.662374772833118,0.0569295533039309
0.5,14,160.0634,29.5465,0.06337777627564378,0.013535639988280224
0.5,15,160.8121,28.7947,0.8121161130112853,0.7652758926382575
0.5,16,154.3714,29.2692,5.628582884124256,0.29084148221302186
0.5,17,161.0531,29.0158,1.0531023339617889,0.5442396893112651
0.5,18,160.8519,31.2463,0.8519424575440553,1.6862899258015567
0.5,19,156.6553,29.8141,3.3447401786930584,0.25405914200675284
0.5,20,159.7613,30.3597,0.2386925268504001,0.7997306649801423
0.5,21,157.9248,29.8519,2.075224911333919,0.29192561749224666
0.5,22,162.2554,30.8802,2.2554473620753868,1.320171124092198
0.5,23,160.913,29.5566,0.9129781088493587,0.00339989777504357
0.5,24,160.5376,30.3632,0.5375753499820064,0.8032114372847801
0.5,25,160.3045,27.8796,0.30448382301813126,1.6803547490997062
0.5,26,163.9595,29.8459,3.9595166534784596,0.2859062132707244
0.5,27,160.8709,29.0555,0.8709007266390927,0.5045008481109754
0.5,28,160.7648,29.4168,0.7647796262162956,0.14316083786561506
0.5,29,160.7204,28.6326,0.7204079102545791,0.9273539823324555
0.5,30,160.7587,33.6091,0.7586902758118299,4.0491454374866755
0.5,31,155.322,31.412,4.677998679322968,1.8520295592013696
0.5,32,159.588,30.3717,0.41204215856663495,0.8117317682734857
0.5,33,161.6638,29.6463,1.6637657527487022,0.08634475521996521
0.5,34,161.296,30.4089,1.295959210585437,0.8488931522390359
0.5,35,159.5743,29.3053,0.4256918998940762,0.25472791269501727
0.5,36,160.8165,30.1338,0.8164982732247097,0.5737863974466784
0.5,37,161.4871,30.1033,1.4870723765211267,0.543250977532697
0.5,38,159.7242,30.1658,0.2758440240317839,0.6058145554955523
0.5,39,157.1492,29.6159,2.8507514865934525,0.05591306867060197
0.5,40,151.0722,29.3008,8.927806406336686,0.25923485899768295
0.5,41,159.3786,29.4203,0.6214290704106133,0.1396547353829547
0.5,42,160.9917,29.4087,0.9916586429424115,0.15129923218618657
0.5,43,159.7835,29.1134,0.21653559710199488,0.4465528068006748
0.5,44,159.4153,29.0869,0.5847097238716117,0.47308260029965865
0.5,45,156.1571,29.6991,3.842936730457808,0.1390814488551051
0.5,46,160.8202,29.7239,0.8202285890222356,0.16385792975308533
0.5,47,159.8484,29.395,0.1516291279661175,0.16500044461878005
0.5,48,162.5941,29.5833,2.5941310826696053,0.023346524544990643
0.5,49,159.9149,27.7778,0.0850557406081407,1.7822243399649018
0.5,50,159.236,29.3956,0.7639982357479198,0.16435331512811402
1.0,1,159.7739,29.6124,0.22609093835291105,0.052429162291598885
1.0,2,160.0696,29.6329,0.06956992379292615,0.07293125331446149
1.0,3,160.7545,29.855,0.7545259482269273,0.29502696627756464
1.0,4,160.5731,30.2859,0.5731375632714446,0.725895463333277
1.0,5,156.6886,29.2787,3.3113978479964317,0.2812880421945323
1.0,6,155.8086,29.6648,4.191356692407908,0.10484572375434098
1.0,7,161.5899,29.3441,1.589934829506518,0.2158691587624162
1.0,8,161.9246,28.9253,1.9246219856637765,0.6347450796561773
1.0,9,162.0316,29.4544,2.0315817424401814,0.10561482269486078
1.0,10,158.4047,29.5514,1.5953296195892221,0.008599013798548327
1.0,11,159.3336,29.3912,0.666401777963955,0.16876949269522257
1.0,12,159.5132,29.8395,0.486816285444462,0.27946075182164165
1.0,13,160.0816,29.4179,0.08155995757832102,0.14214788670280143
1.0,14,160.2493,29.7298,0.24931758039457463,0.16984936322644728
1.0,15,159.3935,29.5031,0.6065145392586544,0.05694955346303132
1.0,16,158.5885,29.2554,1.411521150994588,0.3045858815528497
1.0,17,160.4498,29.2559,0.44978651206622544,0.30410765536202433
